Hours,Censoring Indicator,DegreesC,Volts
439,Failure,170,200
904,Failure,170,200
1092,Failure,170,200
1105,Failure,170,200
572,Failure,170,250
690,Failure,170,250
904,Failure,170,250
1090,Failure,170,250
315,Failure,170,300
315,Failure,170,300
439,Failure,170,300
628,Failure,170,300
258,Failure,170,350
258,Failure,170,350
347,Failure,170,350
588,Failure,170,350
216,Failure,180,250
315,Failure,180,250
455,Failure,180,250
473,Failure,180,250
241,Failure,180,300
315,Failure,180,300
332,Failure,180,300
380,Failure,180,300
241,Failure,180,350
241,Failure,180,350
435,Failure,180,350
455,Failure,180,350
1105,Censored,170,200
1105,Censored,170,200
1105,Censored,170,200
1105,Censored,170,200
1090,Censored,170,250
1090,Censored,170,250
1090,Censored,170,250
1090,Censored,170,250
628,Censored,170,300
628,Censored,170,300
628,Censored,170,300
628,Censored,170,300
588,Censored,170,350
588,Censored,170,350
588,Censored,170,350
588,Censored,170,350
473,Censored,180,250
473,Censored,180,250
473,Censored,180,250
473,Censored,180,250
380,Censored,180,300
380,Censored,180,300
380,Censored,180,300
380,Censored,180,300
455,Censored,180,350
455,Censored,180,350
455,Censored,180,350
455,Censored,180,350
